doi,title,abstract,authors,orcid_ids,affiliations,published_date,journal_title,publisher,keywords,topics
10.1111/1467-9965.00001,On the Existence of Minimax Martingale Measures,"Embedding asset pricing in a utility maximization framework leads naturally to the concept of minimax martingale measures. We consider a market model where the price process is assumed to be an d ‐semimartingale X and the set of trading strategies consists of all predictable, X ‐integrable, d ‐valued processes H for which the stochastic integral ( H.X ) is uniformly bounded from below. When the market is free of arbitrage, we show that a sufficient condition for the existence of the minimax measure is that the utility function u : → is concave and nondecreasing. We also show the equivalence between the no free lunch with vanishing risk condition, the existence of a separating measure, and a properly defined notion of viability.",FABIO BELLINI; MARCO FRITTELLI,0000-0002-3597-808X; 0000-0003-4340-4462,"Fabio Bellini: University of Milano-Bicocca; Marco Frittelli: University of Florence, University of Milano-Bicocca",2002-01,Mathematical Finance,Wiley,Semimartingale; Martingale (probability theory); Minimax; Local martingale; Mathematics; Mathematical economics; Utility maximization problem; Equivalence (formal languages); Bounded function; Martingale pricing; Embedding; Utility maximization; Probability measure; Applied mathematics; Discrete mathematics; Computer science; Mathematical analysis,Stochastic processes and financial applications; Risk and Portfolio Optimization; Economic theories and models
10.1111/1467-9965.00002,Principal Component Value at Risk,"Value at risk (VaR) is an industrial standard for monitoring financial risk in an investment portfolio. It measures potential losses within a given confidence interval. The implementation, calculation, and interpretation of VaR contains a wealth of mathematical issues that are not fully understood. In this paper we present a methodology for an approximation to value at risk that is based on the principal components of a sensitivity‐adjusted covariance matrix. The result is an explicit expression in terms of portfolio deltas, gammas, and the variance/covariance matrix. It can be viewed as a nonlinear extension of the linear model given by the delta‐normal VaR or RiskMetrics (J.P. Morgan, 1996).",R. BRUMMELHUIS; A. CÓRDOBA; M. QUINTANILLA; L. SECO,0000-0001-6587-1673; 0000-0003-1502-3427,"Raymond Brummelhuis: University of London, Universidad de Londres, Université de Reims Champagne-Ardenne; A. CÓRDOBA: Universidad Autónoma de Madrid; Maite Quintanilla: University of Toronto; Luis Seco: University of Toronto",2002-01,Mathematical Finance,Wiley,Value at risk; Portfolio; Covariance matrix; Econometrics; Mathematics; Variance (accounting); Principal component analysis; Confidence interval; Value (mathematics); Portfolio optimization; Economics; Statistics; Financial economics; Risk management; Finance,Financial Risk and Volatility Modeling; Risk and Portfolio Optimization; Stochastic processes and financial applications
10.1111/1467-9965.00003,Hedging under Transaction Costs in Currency Markets: a Discrete‐Time Model,We consider a discrete‐time model of a currency market with transaction costs and give a description of initial endowments that allow the investor to hedge a contingent claim in various currencies by a self‐financing portfolio.,FREDDY DELBAEN; YURI M. KABANOV; ESKO VALKEILA,0000-0003-2422-1433; 0000-0002-6275-1112,"Freddy Delbaen: ETH Zurich, Board of the Swiss Federal Institutes of Technology; Yuri Kabanov: Laboratoire de Mathématiques, Central Economics and Mathematics Institute; Esko Valkeila: University of Helsinki",2002-01,Mathematical Finance,Wiley,Hedge; Transaction cost; Currency; Portfolio; Economics; Discrete time and continuous time; Financial economics; Monetary economics; Econometrics; Microeconomics,Stochastic processes and financial applications; Economic theories and models; Complex Systems and Time Series Analysis
10.1111/1467-9965.00004,Hedging under Transaction Costs in Currency Markets: a Continuous‐Time Model,We consider a general semimartingale model of a currency market with transaction costs. Assuming that the price process is continuous and the solvency cone is proper we prove a hedging theorem describing the set of initial endowments that allows the investor to hedge a contingent claim in various currencies by a self‐financing portfolio.,YURI M. KABANOV; GÜNTER LAST,,"YURI M. KABANOV: Central Economics and Mathematics Institute, Laboratoire de Mathématiques Blaise Pascal, Université de franche-comté; GÜNTER LAST: Karlsruhe Institute of Technology",2002-01,Mathematical Finance,Wiley,Semimartingale; Hedge; Transaction cost; Portfolio; Economics; Currency; Solvency; Financial economics; Monetary economics; Microeconomics; Market liquidity; Mathematics,Stochastic processes and financial applications; Economic theories and models; Financial Markets and Investment Strategies
10.1111/1467-9965.00005,Calibrating a Diffusion Pricing Model with Uncertain Volatility: Regularization and Stability,"A regularized (smoothed) version of the model calibration method of Avellaneda, Friedman, Holmes, and Samperi (1997 ) is studied. We prove that the regularized formulation is solvable and that the solution depends continuously on the input data (observed derivative security prices). Associated issues of model credibility, stability, and robustness (insensitivity to model assumptions) are discussed. The Implicit Function Theorem for Banach spaces is used for the stability proof, and some numerical illustrations are included.",DOMINICK SAMPERI,,"Dominick J. Samperi: Synergy Pharmaceuticals (United States), Synergy University",2002-01,Mathematical Finance,Wiley,Regularization (linguistics); Robustness (evolution); Credibility; Volatility (finance); Applied mathematics; Mathematics; Stability (learning theory); Implicit function theorem; Banach space; Econometrics; Mathematical economics; Mathematical optimization; Economics; Computer science; Mathematical analysis,Stochastic processes and financial applications; Risk and Portfolio Optimization; Credit Risk and Financial Regulations
10.1111/1467-9965.00006,Dynamic Arbitrage‐Free Asset Pricing with Proportional Transaction Costs,This paper studies multiperiod asset pricing theory in arbitrage‐free financial markets with proportional transaction costs. The mathematical formulation is based on a Euclidean space for weakly arbitrage‐free security markets and strongly arbitrage‐free security markets. We establish the weakly arbitrage‐free pricing theorem and the strongly arbitrage‐free pricing theorem.,SHUNMING ZHANG; CHUNLEI XU; XIAOTIE DENG,0000-0003-2961-7699; 0000-0002-5282-6467,"Shunming Zhang: Western University, Xiamen University, Tsinghua University; Chunlei Xu: Bank of China, China Development Bank, China Construction Bank, Tsinghua University; Xiaotie Deng: City University of Hong Kong",2002-01,Mathematical Finance,Wiley,Arbitrage; Arbitrage pricing theory; Risk arbitrage; Fixed income arbitrage; Fundamental theorem of asset pricing; Index arbitrage; Investment theory; Variable pricing; Transaction cost; Rational pricing; Asset (computer security); Economics; Capital asset pricing model; Financial economics; Microeconomics; Business; Computer science,Stochastic processes and financial applications; Financial Markets and Investment Strategies; Economic theories and models
10.1111/1467-9965.00007,Local Vega Index and Variance Reduction Methods,In this article we discuss a generalization of the Greek called vega which is used to study the stability of option prices and hedging portfolios with respect to the volatility in various models. We call this generalization the local vega index. We compute through Monte Carlo simulations this index in the cases of Asian options under the classical Black‐Scholes setup. Simulation methods using Malliavin calculus and kernel density estimation are compared. Variance reduction methods are discussed.,Hans‐Peter Bermin; Arturo Kohatsu‐Higa; Miquel Montero,0000-0003-1665-6832; 0000-0002-3221-1211,"Hans‐Peter Bermin: Lund University; Arturo Kohatsu‐Higa: Lund University, Pompeu Fabra University; Miquel Montero: Universitat de Barcelona, Lund University",2003-01,Mathematical Finance,Wiley,Vega; Variance reduction; Local volatility; Generalization; Index (typography); Econometrics; Malliavin calculus; Mathematics; Variance (accounting); Applied mathematics; Stochastic volatility; Volatility (finance); Kernel density estimation; SABR volatility model; Kernel (algebra); Monte Carlo method; Statistics; Economics; Computer science; Mathematical analysis; Pure mathematics; Physics,Stochastic processes and financial applications; Financial Risk and Volatility Modeling
10.1111/1467-9965.00008,Monte Carlo Evaluation of Greeks for Multidimensional Barrier and Lookback Options,"In this paper, we consider the problem of the numerical computation of Greeks for a multidimensional barrier and lookback style options: the payoff function depends in a rather general way on the minima and maxima of the coordinates of the d ‐dimensional underlying asset process. Using Malliavin calculus techniques, we derive additional weights that enable computation of the Greeks using Monte Carlo simulations. Numerical experiments confirm the efficiency of the method. This work is a multidimensional extension of previous results (see Gobet and Kohatsu‐Higa 2001 ).",Guillaume Bernis; Emmanuel Gobet; Arturo Kohatsu‐Higa,0000-0002-9940-2493,Guillaume Bernis: Banque de France; Emmanuel Gobet: Banque de France; Arturo Kohatsu‐Higa: Banque de France,2003-01,Mathematical Finance,Wiley,Greeks; Monte Carlo method; Computation; Applied mathematics; Maxima and minima; Malliavin calculus; Mathematical optimization; Stochastic game; Extension (predicate logic); Mathematics; Function (biology); Statistical physics; Computer science; Mathematical economics; Calculus (dental); Mathematical analysis; Algorithm; Physics; Economics; Statistics; Partial differential equation,Stochastic processes and financial applications; Monetary Policy and Economic Impact; Financial Risk and Volatility Modeling
10.1111/1467-9965.00009,Error Calculus and Path Sensitivity in Financial Models,"In the framework of risk management, for the study of the sensitivity of pricing and hedging in stochastic financial models to changes of parameters and to perturbations of the stock prices, we propose an error calculus that is an extension of the Malliavin calculus based on Dirichlet forms. Although useful also in physics, this error calculus is well adapted to stochastic analysis and seems to be the best practicable in finance. This tool is explained here intuitively and with some simple examples.",Nicolas Bouleau,,"Nicolas Bouleau: CERMICS, École nationale des ponts et chaussées",2003-01,Mathematical Finance,Wiley,Malliavin calculus; Stochastic calculus; Sensitivity (control systems); Calculus (dental); Mathematics; Extension (predicate logic); Dirichlet distribution; Financial modeling; Multivariable calculus; Simple (philosophy); Applied mathematics; Finance; Computer science; Economics; Mathematical analysis,Stochastic processes and financial applications; Financial Risk and Volatility Modeling; Complex Systems and Time Series Analysis
10.1111/1467-9965.00010,Efficient Computation of Hedging Portfolios for Options with Discontinuous Payoffs,"We consider the problem of computing hedging portfolios for options that may have discontinuous payoffs, in the framework of diffusion models in which the number of factors may be larger than the number of Brownian motions driving the model. Extending the work of Fournié et al. (1999) , as well as Ma and Zhang (2000) , using integration by parts of Malliavin calculus, we find two representations of the hedging portfolio in terms of expected values of random variables that do not involve differentiating the payoff function. Once this has been accomplished, the hedging portfolio can be computed by simple Monte Carlo. We find the theoretical bound for the error of the two methods. We also perform numerical experiments in order to compare these methods to two existing methods, and find that no method is clearly superior to others.",Jakša Cvitanić; Jin Ma; Jianfeng Zhang,0000-0001-6651-3552; 0000-0002-6780-0956; 0000-0001-8543-8084,Jakša Cvitanić: University of Southern California; Jin Ma: University of Southern California; Jianfeng Zhang: University of Southern California,2003-01,Mathematical Finance,Wiley,Portfolio; Stochastic game; Malliavin calculus; Monte Carlo method; Computation; Mathematical economics; Replicating portfolio; Applied mathematics; Simple (philosophy); Mathematics; Mathematical optimization; Econometrics; Computer science; Economics; Portfolio optimization; Financial economics; Algorithm; Partial differential equation,"Stochastic processes and financial applications; Financial Risk and Volatility Modeling; Insurance, Mortality, Demography, Risk Management"
